,open,high,low,close,volume,vwap,timestamp,transactions,otc,sma25,sma100,sma200,rsi,macd
679,54.24,54.58,53.725,54.39,5607722.0,54.3599,1639026000000,39902,,54.17560000000003,48.59699999999999,42.37465000000004,53.47690265287692,0.7163495465227072
680,55.15,55.26,54.285,54.68,3628582.0,54.7589,1639112400000,36625,,54.09520000000002,48.481799999999986,42.30680000000004,49.582152103680436,0.7624102815766278
681,54.46,54.65,53.0671,53.32,5398761.0,53.4815,1639371600000,50990,,53.90200000000002,48.379399999999976,42.24860000000004,53.21641224294509,0.9190563793134388
682,53.25,54.5,53.1377,53.88,4048860.0,53.9558,1639458000000,36317,,53.70080000000003,48.28279999999998,42.18065000000004,54.92654098458957,1.0099165785438586
683,53.79,54.07,52.8597,54.04,4946167.0,53.5362,1639544400000,49528,,53.38160000000003,48.16889999999998,42.10625000000004,55.817438637878475,1.0674157189646039
684,54.43,55.36,54.27,54.6,5605880.0,54.8788,1639630800000,45650,,53.144400000000026,48.045299999999976,42.04820000000004,55.496873527309695,1.1018613022803194
685,54.53,54.665,53.38,54.1,10400003.0,54.2005,1639717200000,54404,,52.87520000000002,47.93649999999998,41.99520000000004,51.51786838987341,1.1409993187701062
686,53.1,53.59,52.47,53.51,6250974.0,53.0857,1639976400000,58249,,52.56640000000002,47.84269999999998,41.96035000000004,58.14670695956887,1.3107936697258822
687,54.17,54.81,53.9,54.2,4421997.0,54.3155,1640062800000,44937,,52.214400000000026,47.725499999999975,41.92660000000004,53.796389309334906,1.3211014606588733
688,54.12,54.38,53.64,54.23,3729561.0,54.1799,1640149200000,37174,,51.87760000000003,47.613899999999965,41.90240000000004,52.53254197780211,1.4626782925673965
689,54.5,55.7032,54.35,55.14,6240414.0,55.2085,1640235600000,47734,,51.61240000000002,47.49429999999997,41.87420000000004,53.65692358821127,1.6628337646751135
690,55.31,55.89,55.17,55.87,3249034.0,55.6969,1640581200000,33202,,51.35720000000003,47.36659999999997,41.845250000000036,52.158641664249146,1.8605182579518669
691,56.01,57.0,55.91,56.63,4749871.0,56.5917,1640667600000,42281,,51.178000000000026,47.23089999999996,41.823350000000026,60.50751496601032,2.138718927436713
692,56.67,57.11,56.56,57.06,3580902.0,56.905,1640754000000,32383,,50.91480000000002,47.08039999999997,41.78785000000003,64.64861236794916,2.2193500520892044
693,57.2,57.83,56.725,56.78,3678731.0,57.0625,1640840400000,36693,,50.59960000000002,46.932999999999964,41.75260000000002,70.28626112609493,2.1851105049789084
694,56.84,56.9905,56.295,56.72,3093869.0,56.6377,1640926800000,29065,,50.26400000000002,46.780199999999965,41.70790000000002,66.55751955976692,1.9772613302311584
695,57.2,57.9,56.79,56.87,5235781.0,57.1726,1641186000000,45725,,49.98000000000001,46.636699999999976,41.66915000000003,63.69807062492076,1.8654645823861244
696,57.25,58.7,57.1,58.41,9067952.0,58.1428,1641272400000,71886,,49.762800000000006,46.496899999999975,41.635650000000034,66.3539632478888,1.818837248483753
697,58.79,59.59,58.315,58.35,6664303.0,59.0006,1641358800000,61768,,49.509600000000006,46.35109999999998,41.60495000000004,66.26832503131774,1.6707589095976942
698,58.49,58.86,57.24,58.24,5820763.0,58.0436,1641445200000,53691,,49.250800000000005,46.207899999999974,41.57650000000004,64.55077406295715,1.4615278820071467
699,58.63,59.515,58.43,59.1,4633224.0,59.0767,1641531600000,44956,,48.98680000000001,46.06109999999998,41.54435000000004,63.38975730494343,1.2567053285078416
700,58.84,59.3,57.985,58.4,5544298.0,58.4779,1641790800000,59789,,48.772800000000004,45.92159999999997,41.50840000000004,58.939735108761326,1.032997919081346
701,59.05,59.47,58.41,59.18,5720388.0,58.9533,1641877200000,51563,,48.6684,45.786399999999965,41.47890000000004,56.6163124141252,0.9320041285903429
702,59.515,60.14,58.89,59.26,3742360.0,59.3549,1641963600000,40093,,48.602000000000004,45.689499999999974,41.46605000000003,60.62375731178458,0.8842338123114217
703,59.3,60.2266,59.2074,59.94,4482598.0,59.8393,1642050000000,38943,,48.445600000000006,45.584799999999966,41.453350000000036,65.20231243055022,0.6912726622636072
704,59.71,60.83,59.29,60.74,6795305.0,60.2574,1642136400000,62962,,48.22240000000001,45.46669999999997,41.42185000000004,62.373603038500306,0.30765646475148145
705,60.76,61.1486,59.57,60.2,4799580.0,60.2298,1642482000000,53200,,48.08080000000001,45.361299999999964,41.39715000000004,51.81489201217007,-0.050015939560374534
706,60.76,60.92,59.39,59.84,4351087.0,59.932,1642568400000,44047,,48.044000000000004,45.29069999999997,41.39845000000004,54.5172942991729,-0.10973575830663407
707,59.9,60.05,57.77,57.81,5765667.0,58.6808,1642654800000,60222,,47.9296,45.223499999999966,41.40485000000004,45.53475807929192,-0.2597092613855878
708,57.68,57.77,56.54,56.72,6189453.0,57.0199,1642741200000,58966,,47.953599999999994,45.17879999999997,41.42695000000004,54.59288378595821,-0.19077057969528965
709,55.7,56.82,54.6,56.62,8873378.0,55.6609,1643000400000,88327,,47.8672,45.103799999999964,41.44630000000004,50.978774005541915,-0.33215036299683476
710,55.89,57.46,54.6393,57.18,5644149.0,56.3333,1643086800000,62930,,47.8536,45.01819999999997,41.47390000000005,39.53688330684598,-0.41511655385812674
711,57.43,58.25,56.65,57.22,6126011.0,57.3933,1643173200000,71395,,47.87559999999999,44.99909999999997,41.508850000000045,42.54455627523345,-0.2777371603195107
712,58.74,61.29,58.74,60.18,11666346.0,60.2835,1643259600000,112844,,47.882,44.98069999999997,41.53895000000005,36.199462884825955,-0.17573310296194222
713,60.71,61.1,59.07,60.04,6971881.0,59.9468,1643346000000,75504,,47.944399999999995,44.98789999999996,41.57425000000005,41.762909453124855,0.0659627390175288
714,59.5,60.05,58.28,59.73,8056096.0,59.5276,1643605200000,73542,,47.993599999999994,44.96189999999997,41.60315000000005,44.40729402546057,0.23196779203106388
